Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,05/02/2010,24924.5,FALSE
1,1,12/02/2010,46039.49,TRUE
1,1,19/02/2010,41595.55,FALSE
1,1,26/02/2010,19403.54,FALSE
1,1,05/03/2010,21827.9,FALSE
1,1,12/03/2010,21043.39,FALSE
1,1,19/03/2010,22136.64,FALSE
1,1,26/03/2010,26229.21,FALSE
1,1,02/04/2010,57258.43,FALSE
1,1,09/04/2010,42960.91,FALSE
1,1,16/04/2010,17596.96,FALSE
1,1,23/04/2010,16145.35,FALSE
1,1,30/04/2010,16555.11,FALSE
1,1,07/05/2010,17413.94,FALSE
1,1,14/05/2010,18926.74,FALSE
1,1,21/05/2010,14773.04,FALSE
1,1,28/05/2010,15580.43,FALSE
1,1,04/06/2010,17558.09,FALSE
1,1,11/06/2010,16637.62,FALSE
1,1,18/06/2010,16216.27,FALSE
1,1,25/06/2010,16328.72,FALSE
1,1,02/07/2010,16333.14,FALSE
1,1,09/07/2010,17688.76,FALSE
1,1,16/07/2010,17150.84,FALSE
1,1,23/07/2010,15360.45,FALSE
1,1,30/07/2010,15381.82,FALSE
1,1,06/08/2010,17508.41,FALSE
1,1,13/08/2010,15536.4,FALSE